sample_ID	Genotype	Treatment	ACTBrep1	ACTBrep2	AREGrep1	AREGrep2	ACTB_av	AREG_av	DeltCT	DeltDeltCT	foldEXP
WTA	WT	AREG	17.822	17.632	33.879	33.921	17.727	33.9	16.173	5.625374999999998	0.020257851729711
WTA	WT	AREG	17.336	17.29	33.823	34.314	17.313	34.0685	16.7555	6.207875000000001	0.0135283059238557
WTA	WT	AREG	17.924	17.929	33.084	33.792	17.926499999999997	33.438	15.511500000000005	4.963875000000005	0.03204237732418719
WTA	WT	AREG	17.796	17.817	33.63	34.695	17.8065	34.1625	16.356	5.808375000000002	0.01784452117430763
WT-	WT	Negative	16.91	16.886	29.126	29.183	16.898	29.1545	12.256499999999999	1.708874999999999	0.30589851322129497
WT-	WT	Negative	19.381	19.339	29.286	29.355	19.36	29.320500000000003	9.960500000000003	-0.5871249999999968	1.5022500813533826
WT-	WT	Negative	17.52	17.432	28.45	28.668	17.476	28.558999999999997	11.082999999999998	0.5353749999999984	0.6899793069332993
WT-	WT	Negative	17.679	17.664	28.6	28.609	17.6715	28.6045	10.933	0.3853749999999998	0.7655799753317178
WTN	WT	none	17.107	17.122	28.748	28.827	17.1145	28.7875	11.673000000000002	1.1253750000000018	0.4583828585712078
WTN	WT	none	17.832	17.864	28.19	28.238	17.848	28.214	10.366	-0.18162500000000037	1.1341606440238217
WTN	WT	none	17.893	17.986	28.362	28.406	17.939500000000002	28.384	10.444499999999998	-0.10312500000000213	1.0740975310479868
WTN	WT	none	20.479	20.427	30.144	30.176	20.453	30.159999999999997	9.706999999999997	-0.8406250000000028	1.790825789986346
9A	Ex9	AREG	17.968	18.144	31.822	31.745	18.055999999999997	31.7835	13.727500000000003	4.421750000000003	0.04665740889040466
9A	Ex9	AREG	17.276	17.306	30.799	30.804	17.291	30.801499999999997	13.510499999999997	4.204749999999997	0.05423056457355878
9A	Ex9	AREG	17.754	17.759	30.866	32.281	17.756500000000003	31.5735	13.816999999999997	4.511249999999997	0.04385089199976033
9A	Ex9	AREG	18.334	18.369	31.657	31.861	18.3515	31.759	13.407499999999999	4.101749999999999	0.05824386885048594
9-	Ex9	Negative	18.152	18.127	28.128	28.138	18.139499999999998	28.133000000000003	9.993500000000004	0.6877500000000047	0.6208213165787885
9-	Ex9	Negative	16.968	16.963	27.069	27.133	16.9655	27.101	10.1355	0.8297500000000007	0.5626267296803729
9-	Ex9	Negative	16.739	16.77	26.627	26.56	16.7545	26.5935	9.838999999999999	0.5332499999999989	0.6909963523456137
9-	Ex9	Negative	17.889	17.923	27.27	27.321	17.906	27.2955	9.389500000000002	0.08375000000000199	0.9436017504520169
9N	Ex9	none	18.731	18.757	28.487	28.477	18.744	28.482	9.738	0.4322499999999998	0.7411050700512561
9N	Ex9	none	17.212	17.178	26.636	26.501	17.195	26.5685	9.3735	0.0677500000000002	0.954124873464491
9N	Ex9	none	17.709	17.674	26.586	26.435	17.691499999999998	26.5105	8.819000000000003	-0.48674999999999713	1.4012846039223286
9N	Ex9	none	17.528	17.44	26.747	26.806	17.484	26.7765	9.292499999999997	-0.01325000000000287	1.0092265043193775
20a	Ex20	AREG	17.916	17.887	32.542	32.663	17.9015	32.6025	14.701	4.7620000000000005	0.03685489350816299
20a	Ex20	AREG	18.382	18.419	31.811	32.161	18.4005	31.986	13.5855	3.6464999999999996	0.0798535302792176
20a	Ex20	AREG	17.823	17.909	31.212	31.513	17.866	31.3625	13.496500000000001	3.557500000000001	0.08493482385084099
20a	Ex20	AREG	17.893	17.714	32.359	32.494	17.8035	32.426500000000004	14.623000000000005	4.684000000000005	0.038902319855692695
20-	Ex20	Negative	17.415	17.369	27.667	27.783	17.392	27.725	10.333000000000002	0.3940000000000019	0.761016690419678
20-	Ex20	Negative	16.96	16.931	27.033	27.299	16.945500000000003	27.166	10.220499999999998	0.28149999999999764	0.8227351575848888
20-	Ex20	Negative	17.604	17.646	26.277	26.558	17.625	26.4175	8.7925	-1.1464999999999996	2.2137618046254888
20-	Ex20	Negative	17.588	17.675	27.669	27.866	17.631500000000003	27.7675	10.135999999999996	0.19699999999999562	0.8723627057707611
20n	Ex20	none	17.899	17.998	27.111	27.352	17.948500000000003	27.2315	9.282999999999998	-0.6560000000000024	1.575707772098695
20n	Ex20	none	17.292	17.291	27.059	27.31	17.2915	27.1845	9.893	-0.045999999999999375	1.0323985354832415
20n	Ex20	none	16.975	17.022	26.89	27.167	16.9985	27.0285	10.030000000000001	0.09100000000000108	0.9388717473154514
20n	Ex20	none	16.494	16.442	26.904	27.132	16.468	27.018	10.55	0.6110000000000007	0.6547427115417822
