Sample Name	Target Name	Task	Reporter	Quencher	CT
w-	actb	UNKNOWN	SYBR	None	17.086
w-	actb	UNKNOWN	SYBR	None	16.211
w-	actb	UNKNOWN	SYBR	None	16.914
w-	actb	UNKNOWN	SYBR	None	16.598
wa	actb	UNKNOWN	SYBR	None	16.546
wa	actb	UNKNOWN	SYBR	None	16.984
wa	actb	UNKNOWN	SYBR	None	16.110
wa	actb	UNKNOWN	SYBR	None	16.426
wn	actb	UNKNOWN	SYBR	None	16.529
wn	actb	UNKNOWN	SYBR	None	16.493
wn	actb	UNKNOWN	SYBR	None	16.261
wn	actb	UNKNOWN	SYBR	None	16.797
w-	actb	UNKNOWN	SYBR	None	16.989
w-	actb	UNKNOWN	SYBR	None	16.319
w-	actb	UNKNOWN	SYBR	None	16.961
w-	actb	UNKNOWN	SYBR	None	16.588
wa	actb	UNKNOWN	SYBR	None	16.550
wa	actb	UNKNOWN	SYBR	None	16.982
wa	actb	UNKNOWN	SYBR	None	16.060
wa	actb	UNKNOWN	SYBR	None	16.458
wn	actb	UNKNOWN	SYBR	None	16.561
wn	actb	UNKNOWN	SYBR	None	16.460
wn	actb	UNKNOWN	SYBR	None	16.202
wn	actb	UNKNOWN	SYBR	None	16.759
w-	areg	UNKNOWN	SYBR	None	28.251
w-	areg	UNKNOWN	SYBR	None	27.461
w-	areg	UNKNOWN	SYBR	None	27.657
w-	areg	UNKNOWN	SYBR	None	28.061
wa	areg	UNKNOWN	SYBR	None	27.864
wa	areg	UNKNOWN	SYBR	None	28.768
wa	areg	UNKNOWN	SYBR	None	27.561
wa	areg	UNKNOWN	SYBR	None	27.527
wn	areg	UNKNOWN	SYBR	None	27.493
wn	areg	UNKNOWN	SYBR	None	26.465
wn	areg	UNKNOWN	SYBR	None	26.530
wn	areg	UNKNOWN	SYBR	None	26.808
w-	areg	UNKNOWN	SYBR	None	28.168
w-	areg	UNKNOWN	SYBR	None	27.575
w-	areg	UNKNOWN	SYBR	None	27.765
w-	areg	UNKNOWN	SYBR	None	28.189
wa	areg	UNKNOWN	SYBR	None	27.936
wa	areg	UNKNOWN	SYBR	None	28.749
wa	areg	UNKNOWN	SYBR	None	27.591
wa	areg	UNKNOWN	SYBR	None	27.661
wn	areg	UNKNOWN	SYBR	None	27.485
wn	areg	UNKNOWN	SYBR	None	26.575
wn	areg	UNKNOWN	SYBR	None	26.605
wn	areg	UNKNOWN	SYBR	None	26.922
9-	actb	UNKNOWN	SYBR	None	17.054
9-	actb	UNKNOWN	SYBR	None	16.030
9-	actb	UNKNOWN	SYBR	None	15.765
9-	actb	UNKNOWN	SYBR	None	15.897
9a	actb	UNKNOWN	SYBR	None	16.125
9a	actb	UNKNOWN	SYBR	None	16.312
9a	actb	UNKNOWN	SYBR	None	16.693
9a	actb	UNKNOWN	SYBR	None	15.573
9n	actb	UNKNOWN	SYBR	None	15.472
9n	actb	UNKNOWN	SYBR	None	16.401
9n	actb	UNKNOWN	SYBR	None	15.957
9n	actb	UNKNOWN	SYBR	None	15.789
9-	actb	UNKNOWN	SYBR	None	17.214
9-	actb	UNKNOWN	SYBR	None	15.972
9-	actb	UNKNOWN	SYBR	None	15.814
9-	actb	UNKNOWN	SYBR	None	15.903
9a	actb	UNKNOWN	SYBR	None	16.116
9a	actb	UNKNOWN	SYBR	None	16.292
9a	actb	UNKNOWN	SYBR	None	16.724
9a	actb	UNKNOWN	SYBR	None	15.560
9n	actb	UNKNOWN	SYBR	None	15.383
9n	actb	UNKNOWN	SYBR	None	16.358
9n	actb	UNKNOWN	SYBR	None	15.825
9n	actb	UNKNOWN	SYBR	None	15.764
9-	areg	UNKNOWN	SYBR	None	27.978
9-	areg	UNKNOWN	SYBR	None	28.476
9-	areg	UNKNOWN	SYBR	None	28.556
9-	areg	UNKNOWN	SYBR	None	29.638
9a	areg	UNKNOWN	SYBR	None	29.790
9a	areg	UNKNOWN	SYBR	None	28.497
9a	areg	UNKNOWN	SYBR	None	27.464
9a	areg	UNKNOWN	SYBR	None	28.605
9n	areg	UNKNOWN	SYBR	None	28.155
9n	areg	UNKNOWN	SYBR	None	27.641
9n	areg	UNKNOWN	SYBR	None	27.322
9n	areg	UNKNOWN	SYBR	None	27.972
9-	areg	UNKNOWN	SYBR	None	27.817
9-	areg	UNKNOWN	SYBR	None	28.360
9-	areg	UNKNOWN	SYBR	None	28.386
9-	areg	UNKNOWN	SYBR	None	29.502
9a	areg	UNKNOWN	SYBR	None	29.541
9a	areg	UNKNOWN	SYBR	None	28.326
9a	areg	UNKNOWN	SYBR	None	27.270
9a	areg	UNKNOWN	SYBR	None	28.340
9n	areg	UNKNOWN	SYBR	None	27.993
9n	areg	UNKNOWN	SYBR	None	27.423
9n	areg	UNKNOWN	SYBR	None	27.103
9n	areg	UNKNOWN	SYBR	None	27.913
